DATE,Case-ShillerHPI,CPI,FEDFUNDS,Monthly Real GDP Index,MORTGAGE30US,Population(thousands),S&P500 Close,UNRATE,DIncome
2004-01-01,141.64600000000002,186.3,1.0,15134.366,5.7125,292046.0,1131.1300048828125,5.7,37840.0
2004-02-01,143.191,186.7,1.01,15258.478,5.635,292230.0,1144.93994140625,5.6,37884.0
2004-03-01,145.058,187.1,1.0,15355.141,5.445,292434.0,1126.2099609375,5.8,38011.0
2004-04-01,146.592,187.4,1.0,15311.37,5.83,292651.0,1107.300048828125,5.6,38111.0
2004-05-01,148.185,188.2,1.0,15446.432,6.27,292872.0,1120.6800537109375,5.6,38272.0
2004-06-01,149.85,188.9,1.03,15344.777,6.2875,293103.0,1140.8399658203125,5.6,38266.0
2004-07-01,151.33700000000002,189.1,1.26,15482.641,6.056,293350.0,1101.719970703125,5.5,38318.0
2004-08-01,152.63299999999998,189.2,1.43,15520.985,5.8675,293603.0,1104.239990234375,5.4,38401.0
2004-09-01,154.17700000000002,189.8,1.61,15536.293,5.754,293857.0,1114.5799560546875,5.4,38385.0
2004-10-01,155.75,190.8,1.76,15653.425,5.7225,294104.0,1130.199951171875,5.5,38362.0
2004-11-01,157.526,191.7,1.93,15649.561,5.73,294337.0,1173.8199462890625,5.4,38208.0
2004-12-01,159.329,191.7,2.16,15711.72,5.752,294561.0,1211.9200439453125,5.4,39581.0
2005-01-01,161.287,191.6,2.28,15854.704,5.71,294768.0,1181.27001953125,5.3,38086.0
2005-02-01,163.343,192.4,2.5,15826.082,5.6275,294955.0,1203.5999755859375,5.4,38070.0
2005-03-01,165.812,193.1,2.63,15855.504,5.928,295149.0,1180.5899658203125,5.2,38180.0
2005-04-01,167.50099999999998,193.7,2.79,15896.691,5.855,295359.0,1156.8499755859375,5.2,38273.0
2005-05-01,169.35,193.6,3.0,15863.329,5.72,295582.0,1191.5,5.1,38408.0
2005-06-01,171.19,193.7,3.04,16010.341,5.582,295824.0,1191.3299560546875,5.0,38454.0
2005-07-01,172.859,194.9,3.26,16037.209,5.695,296077.0,1234.1800537109375,5.0,38460.0
2005-08-01,174.44299999999998,196.1,3.5,16078.094,5.82,296338.0,1220.3299560546875,4.9,38487.0
2005-09-01,176.437,198.8,3.62,16029.517,5.774,296606.0,1228.81005859375,5.0,38318.0
2005-10-01,178.02599999999998,199.1,3.78,16064.167,6.065,296857.0,1207.010009765625,5.0,38499.0
2005-11-01,179.68,198.1,4.0,16112.888,6.33,297089.0,1249.47998046875,5.0,38709.0
2005-12-01,180.909,198.1,4.16,16235.166,6.272,297311.0,1248.2900390625,4.9,38798.0
2006-01-01,182.32,199.3,4.29,16315.466,6.145,297526.0,1280.0799560546875,4.7,39162.0
2006-02-01,183.287,199.4,4.49,16307.716,6.2525,297734.0,1280.6600341796875,4.8,39306.0
2006-03-01,184.364,199.7,4.59,16440.292,6.324,297950.0,1294.8699951171875,4.7,39428.0
2006-04-01,184.328,200.7,4.79,16369.966,6.5075,298170.0,1310.6099853515625,4.7,39388.0
2006-05-01,184.155,201.3,4.94,16416.931,6.5975,298401.0,1270.0899658203125,4.6,39332.0
2006-06-01,183.50599999999997,201.8,4.99,16403.641,6.6819999999999995,298653.0,1270.199951171875,4.6,39350.0
2006-07-01,183.06599999999997,202.9,5.24,16365.775,6.7625,298910.0,1276.6600341796875,4.7,39299.0
2006-08-01,182.595,203.8,5.25,16421.564,6.523999999999999,299178.0,1303.8199462890625,4.7,39231.0
2006-09-01,182.798,202.8,5.25,16477.07,6.4025,299452.0,1335.8499755859375,4.5,39406.0
2006-10-01,183.197,201.9,5.25,16489.367,6.3575,299710.0,1377.93994140625,4.4,39550.0
2006-11-01,183.608,202.0,5.25,16600.852,6.24,299950.0,1400.6300048828125,4.5,39680.0
2006-12-01,184.138,203.1,5.24,16597.595,6.135,300178.0,1418.300048828125,4.4,39838.0
2007-01-01,184.515,203.437,5.25,16578.484,6.2175,300398.0,1438.239990234375,4.6,39803.0
2007-02-01,184.597,204.226,5.26,16680.77,6.285,300608.0,1406.8199462890625,4.5,39906.0
2007-03-01,184.149,205.288,5.26,16577.91,6.156000000000001,300823.0,1420.8599853515625,4.4,40007.0
2007-04-01,183.009,205.904,5.25,16711.322,6.18,301045.0,1482.3699951171875,4.5,40037.0
2007-05-01,181.6,206.755,5.25,16701.74,6.2620000000000005,301278.0,1530.6199951171875,4.4,40029.0
2007-06-01,180.253,207.234,5.25,16728.756,6.657500000000001,301528.0,1503.3499755859375,4.6,39974.0
2007-07-01,179.109,207.603,5.26,16669.371,6.695,301790.0,1455.27001953125,4.7,39983.0
2007-08-01,178.116,207.667,5.02,16867.803,6.572,302064.0,1473.989990234375,4.6,39962.0
2007-09-01,177.55599999999998,208.547,4.94,16893.388,6.3825,302334.0,1526.75,4.7,39988.0
2007-10-01,176.623,209.19,4.76,16878.251,6.375,302590.0,1549.3800048828125,4.7,39923.0
2007-11-01,175.146,210.834,4.49,16898.622,6.208,302834.0,1481.1400146484375,4.7,39857.0
2007-12-01,174.34099999999998,211.445,4.24,16970.45,6.095,303062.0,1468.3599853515625,5.0,39993.0
2008-01-01,173.13099999999997,212.174,3.94,16990.507,5.758,303280.0,1378.550048828125,5.0,40020.0
2008-02-01,171.53900000000002,212.687,2.98,16753.931,5.9175,303494.0,1330.6300048828125,4.9,40007.0
2008-03-01,170.051,213.448,2.61,16786.541,5.97,303707.0,1322.699951171875,5.1,39992.0
2008-04-01,168.33599999999998,213.942,2.28,16846.195,5.9175,303926.0,1385.5899658203125,5.0,39815.0
2008-05-01,166.657,215.208,1.98,16891.108,6.036,304157.0,1400.3800048828125,5.4,41742.0
2008-06-01,165.016,217.463,2.0,17094.031,6.32,304396.0,1280.0,5.6,40660.0
2008-07-01,163.564,219.016,2.01,16971.805,6.425999999999999,304646.0,1267.3800048828125,5.8,40009.0
2008-08-01,161.987,218.69,2.0,16891.625,6.4775,304903.0,1282.8299560546875,6.1,39752.0
2008-09-01,160.306,218.877,1.81,16701.046,6.0375,305158.0,1166.3599853515625,6.1,39812.0
2008-10-01,158.326,216.995,0.97,16566.761,6.2,305403.0,968.75,6.5,40080.0
2008-11-01,156.141,213.153,0.39,16587.097,6.0875,305620.0,896.239990234375,6.8,40396.0
2008-12-01,153.618,211.398,0.16,16303.394,5.286,305827.0,903.25,7.3,40182.0
2009-01-01,151.507,211.933,0.15,16350.242,5.047499999999999,306035.0,825.8800048828125,7.8,40393.0
2009-02-01,150.015,212.705,0.22,16289.997,5.13,306237.0,735.0900268554688,8.3,39975.0
2009-03-01,148.66,212.495,0.18,16255.4,5.0025,306438.0,797.8699951171875,8.7,39952.0
2009-04-01,147.947,212.709,0.15,16253.971,4.8100000000000005,306645.0,872.8099975585938,9.0,40177.0
2009-05-01,147.692,213.022,0.18,16278.613,4.8575,306863.0,919.1400146484376,9.4,40735.0
2009-06-01,148.088,214.79,0.21,16275.547,5.42,307090.0,919.3200073242188,9.5,39966.0
2009-07-01,148.407,214.726,0.16,16261.724,5.2219999999999995,307322.0,987.47998046875,9.5,39759.0
2009-08-01,148.27700000000002,215.445,0.16,16349.09,5.1925,307570.0,1020.6199951171876,9.6,39649.0
2009-09-01,148.024,215.861,0.15,16368.845,5.0575,307826.0,1057.0799560546875,9.8,39732.0
2009-10-01,147.85,216.509,0.12,16570.26,4.952,308071.0,1036.18994140625,10.0,39579.0
2009-11-01,148.135,217.234,0.12,16512.611,4.875,308289.0,1095.6300048828125,9.9,39652.0
2009-12-01,147.928,217.347,0.12,16426.206,4.93,308495.0,1115.0999755859375,9.9,39807.0
2010-01-01,147.39600000000002,217.488,0.11,16526.062,5.03,308706.0,1073.8699951171875,9.8,39798.0
2010-02-01,145.631,217.281,0.13,16560.973,4.99,308904.0,1104.489990234375,9.8,39792.0
2010-03-01,145.858,217.353,0.16,16661.618,4.9675,309095.0,1169.4300537109375,9.9,39924.0
2010-04-01,146.403,217.403,0.2,16725.261,5.098000000000001,309289.0,1186.68994140625,9.9,40244.0
2010-05-01,146.394,217.29,0.2,16714.289,4.8875,309485.0,1089.4100341796875,9.6,40520.0
2010-06-01,145.72,217.199,0.18,16790.671,4.7375,309691.0,1030.7099609375,9.4,40506.0
2010-07-01,144.989,217.605,0.18,16866.323,4.564,309913.0,1101.5999755859375,9.4,40509.0
2010-08-01,143.914,217.923,0.19,16835.082,4.4275,310146.0,1049.3299560546875,9.5,40598.0
2010-09-01,143.017,218.275,0.19,16916.032,4.346,310385.0,1141.199951171875,9.5,40562.0
2010-10-01,142.528,219.035,0.19,16965.414,4.225,310612.0,1183.260009765625,9.4,40541.0
2010-11-01,142.16899999999998,219.59,0.19,16904.016,4.3,310820.0,1180.550048828125,9.8,40554.0
2010-12-01,142.056,220.472,0.18,17013.825,4.714,311020.0,1257.6400146484375,9.3,40771.0
2011-01-01,141.518,221.187,0.17,16865.351,4.755,311204.0,1286.1199951171875,9.1,40938.0
2011-02-01,140.345,221.898,0.16,16841.059,4.9525,311373.0,1327.219970703125,9.0,41033.0
2011-03-01,139.977,223.046,0.14,17056.052,4.836,311551.0,1325.8299560546875,9.0,40901.0
2011-04-01,140.00799999999998,224.093,0.1,17097.452,4.84,311740.0,1363.6099853515625,9.1,40807.0
2011-05-01,139.904,224.806,0.09,17037.904,4.6375,311935.0,1345.199951171875,9.0,40731.0
2011-06-01,139.861,224.806,0.09,16970.702,4.51,312147.0,1320.6400146484375,9.1,40868.0
2011-07-01,139.73,225.395,0.07,17025.576,4.545,312372.0,1292.280029296875,9.0,40995.0
2011-08-01,139.308,226.106,0.1,17097.184,4.27,312605.0,1218.8900146484375,9.0,40945.0
2011-09-01,138.667,226.597,0.08,16971.902,4.106,312842.0,1131.4200439453125,9.0,40857.0
2011-10-01,137.951,226.75,0.07,17256.908,4.0675,313060.0,1253.300048828125,8.8,40861.0
2011-11-01,137.15,227.169,0.08,17204.13,3.9925,313260.0,1246.9599609375,8.6,40806.0
2011-12-01,136.673,227.223,0.07,17207.483,3.958,313454.0,1257.5999755859375,8.5,41150.0
2012-01-01,136.606,227.842,0.08,17264.533,3.915,313636.0,1312.4100341796875,8.3,41346.0
2012-02-01,136.531,228.329,0.1,17511.979,3.89,313811.0,1365.6800537109375,8.3,41520.0
2012-03-01,137.90200000000002,228.807,0.13,17325.048,3.954,313993.0,1408.469970703125,8.2,41614.0
2012-04-01,139.15200000000002,229.187,0.14,17412.99,3.91,314176.0,1397.9100341796875,8.2,41749.0
2012-05-01,140.154,228.713,0.16,17473.207,3.798,314368.0,1310.3299560546875,8.2,41710.0
2012-06-01,141.03,228.524,0.16,17447.969,3.675,314576.0,1362.1600341796875,8.2,41634.0
2012-07-01,141.67,228.59,0.16,17517.95,3.55,314796.0,1379.3199462890625,8.2,41296.0
